,target-var,in-sample-accuracy,out-of-sample-accuracy,sma,rsi
356,27,0.5707317073170731,0.5676004872107187,7,10
357,28,0.5707317073170731,0.5676004872107187,7,10
358,29,0.5707317073170731,0.5676004872107187,7,10
359,30,0.5707317073170731,0.5676004872107187,7,10
360,1,0.5211382113821138,0.5274056029232643,7,14
361,2,0.5308943089430894,0.5627283800243605,7,14
362,3,0.8276422764227642,0.853836784409257,7,14
363,4,0.7878048780487805,0.758830694275274,7,14
364,5,0.5739837398373984,0.5602923264311814,7,14
365,6,0.5707317073170731,0.5529841656516443,7,14
366,7,0.540650406504065,0.5493300852618758,7,14
367,8,0.6113821138211382,0.6151035322777101,7,14
368,9,0.7268292682926829,0.7405602923264312,7,14
369,10,0.8357723577235773,0.8465286236297198,7,14
370,11,0.8276422764227642,0.853836784409257,7,14
371,12,0.7520325203252033,0.7539585870889159,7,14
372,13,0.5707317073170731,0.5529841656516443,7,14
373,14,0.9512195121951219,0.9585870889159561,7,14
374,15,0.7878048780487805,0.758830694275274,7,14
375,16,0.6796747967479675,0.6857490864799025,7,14
376,17,0.9227642276422764,0.904993909866017,7,14
377,18,0.5739837398373984,0.5602923264311814,7,14
378,19,0.5211382113821138,0.5274056029232643,7,14
379,20,0.5756097560975609,0.584652862362972,7,14
380,21,0.6658536585365854,0.6467722289890377,7,14
381,22,0.7658536585365854,0.7637028014616322,7,14
382,23,0.5764227642276423,0.582216808769793,7,14
383,24,0.5764227642276423,0.582216808769793,7,14
384,25,0.5764227642276423,0.582216808769793,7,14
385,26,0.5764227642276423,0.582216808769793,7,14
386,27,0.5682926829268292,0.5749086479902558,7,14
387,28,0.5682926829268292,0.5749086479902558,7,14
388,29,0.5682926829268292,0.5749086479902558,7,14
389,30,0.5682926829268292,0.5749086479902558,7,14
390,1,0.5513866231647635,0.511002444987775,7,21
391,2,0.5595432300163132,0.519559902200489,7,21
392,3,0.8450244698205547,0.8276283618581907,7,21
393,4,0.7699836867862969,0.784841075794621,7,21
394,5,0.5774877650897227,0.5550122249388753,7,21
395,6,0.5513866231647635,0.5647921760391198,7,21
396,7,0.5464926590538336,0.5342298288508558,7,21
397,8,0.598694942903752,0.5733496332518337,7,21
398,9,0.731647634584013,0.7334963325183375,7,21
399,10,0.8466557911908646,0.8312958435207825,7,21
400,11,0.8450244698205547,0.8276283618581907,7,21
401,12,0.7593800978792822,0.7396088019559902,7,21
402,13,0.5513866231647635,0.5647921760391198,7,21
403,14,0.9616639477977161,0.9425427872860636,7,21
404,15,0.7699836867862969,0.784841075794621,7,21
405,16,0.6810766721044046,0.676039119804401,7,21
406,17,0.9086460032626428,0.9266503667481663,7,21
407,18,0.5774877650897227,0.5550122249388753,7,21
408,19,0.5513866231647635,0.511002444987775,7,21
409,20,0.5725938009787929,0.5880195599022005,7,21
410,21,0.6623164763458401,0.6503667481662592,7,21
411,22,0.7805872756933115,0.7420537897310513,7,21
412,23,0.5889070146818923,0.5562347188264058,7,21
413,24,0.5889070146818923,0.5562347188264058,7,21
414,25,0.5889070146818923,0.5562347188264058,7,21
415,26,0.5889070146818923,0.5562347188264058,7,21
416,27,0.5897226753670473,0.5562347188264058,7,21
417,28,0.5897226753670473,0.5562347188264058,7,21
418,29,0.5897226753670473,0.5562347188264058,7,21
419,30,0.5897226753670473,0.5562347188264058,7,21
420,1,0.532733224222586,0.5202453987730061,7,28
421,2,0.5368248772504092,0.5153374233128835,7,28
422,3,0.8338788870703764,0.8429447852760736,7,28
423,4,0.7806873977086743,0.7705521472392638,7,28
424,5,0.5507364975450082,0.5840490797546012,7,28
425,6,0.5286415711947627,0.5631901840490797,7,28
426,7,0.5343698854337152,0.5840490797546012,7,28
427,8,0.5720130932896891,0.5852760736196319,7,28
428,9,0.7495908346972177,0.7079754601226994,7,28
429,10,0.8346972176759411,0.849079754601227,7,28
430,11,0.8338788870703764,0.8429447852760736,7,28
431,12,0.7463175122749591,0.7607361963190185,7,28
432,13,0.5286415711947627,0.5631901840490797,7,28
433,14,0.9549918166939444,0.9521472392638037,7,28
434,15,0.7806873977086743,0.7705521472392638,7,28
435,16,0.693126022913257,0.656441717791411,7,28
436,17,0.9247135842880524,0.901840490797546,7,28
437,18,0.5507364975450082,0.5840490797546012,7,28
438,19,0.532733224222586,0.5202453987730061,7,28
439,20,0.5548281505728314,0.5705521472392638,7,28
440,21,0.6702127659574468,0.6392638036809816,7,28
441,22,0.7569558101472995,0.7766871165644171,7,28
442,23,0.5531914893617021,0.5754601226993865,7,28
443,24,0.5531914893617021,0.5754601226993865,7,28
444,25,0.5531914893617021,0.5754601226993865,7,28
445,26,0.5531914893617021,0.5754601226993865,7,28
446,27,0.5458265139116203,0.5815950920245399,7,28
447,28,0.5458265139116203,0.5815950920245399,7,28
448,29,0.5458265139116203,0.5815950920245399,7,28
449,30,0.5458265139116203,0.5815950920245399,7,28
450,1,0.5349593495934959,0.5261875761266748,8,9
451,2,0.5300813008130081,0.559074299634592,8,9
452,3,0.8276422764227642,0.853836784409257,8,9
453,4,0.7878048780487805,0.758830694275274,8,9
454,5,0.5975609756097561,0.5785627283800243,8,9
455,6,0.5658536585365853,0.5542021924482339,8,9
456,7,0.5373983739837398,0.5529841656516443,8,9
457,8,0.6333333333333333,0.6151035322777101,8,9
458,9,0.7268292682926829,0.7405602923264312,8,9
459,10,0.8357723577235773,0.8465286236297198,8,9
460,11,0.8276422764227642,0.853836784409257,8,9
461,12,0.7528455284552845,0.7551766138855055,8,9
462,13,0.5658536585365853,0.5542021924482339,8,9
463,14,0.9512195121951219,0.9585870889159561,8,9
464,15,0.7878048780487805,0.758830694275274,8,9
465,16,0.691869918699187,0.6845310596833131,8,9
466,17,0.9227642276422764,0.904993909866017,8,9
467,18,0.5975609756097561,0.5785627283800243,8,9
468,19,0.5349593495934959,0.5261875761266748,8,9
469,20,0.5983739837398374,0.5907429963459196,8,9
470,21,0.6658536585365854,0.6467722289890377,8,9
471,22,0.7658536585365854,0.7637028014616322,8,9
472,23,0.5959349593495935,0.5883069427527405,8,9
473,24,0.5959349593495935,0.5883069427527405,8,9
474,25,0.5959349593495935,0.5883069427527405,8,9
475,26,0.5959349593495935,0.5883069427527405,8,9
476,27,0.5723577235772358,0.5676004872107187,8,9
477,28,0.5723577235772358,0.5676004872107187,8,9
478,29,0.5723577235772358,0.5676004872107187,8,9
479,30,0.5723577235772358,0.5676004872107187,8,9
480,1,0.5252032520325203,0.5286236297198539,8,10
481,2,0.532520325203252,0.5663824604141291,8,10
482,3,0.8276422764227642,0.853836784409257,8,10
483,4,0.7878048780487805,0.758830694275274,8,10
484,5,0.5943089430894309,0.5785627283800243,8,10
485,6,0.5626016260162602,0.5566382460414129,8,10
486,7,0.5422764227642276,0.5505481120584653,8,10
487,8,0.6292682926829268,0.6199756394640682,8,10
488,9,0.7268292682926829,0.7405602923264312,8,10
489,10,0.8357723577235773,0.8465286236297198,8,10
490,11,0.8276422764227642,0.853836784409257,8,10
491,12,0.7520325203252033,0.7527405602923264,8,10
492,13,0.5626016260162602,0.5566382460414129,8,10
493,14,0.9512195121951219,0.9585870889159561,8,10
494,15,0.7878048780487805,0.758830694275274,8,10
495,16,0.6853658536585366,0.6881851400730816,8,10
496,17,0.9227642276422764,0.904993909866017,8,10
497,18,0.5943089430894309,0.5785627283800243,8,10
498,19,0.5252032520325203,0.5286236297198539,8,10
499,20,0.5967479674796748,0.5907429963459196,8,10
500,21,0.6658536585365854,0.6467722289890377,8,10
501,22,0.7658536585365854,0.7637028014616322,8,10
502,23,0.591869918699187,0.582216808769793,8,10
503,24,0.591869918699187,0.582216808769793,8,10
504,25,0.591869918699187,0.582216808769793,8,10
505,26,0.591869918699187,0.582216808769793,8,10
506,27,0.5707317073170731,0.5676004872107187,8,10
507,28,0.5707317073170731,0.5676004872107187,8,10
508,29,0.5707317073170731,0.5676004872107187,8,10
509,30,0.5707317073170731,0.5676004872107187,8,10
510,1,0.5235772357723577,0.5274056029232643,8,14
511,2,0.5308943089430894,0.5639464068209501,8,14
512,3,0.8276422764227642,0.853836784409257,8,14
513,4,0.7878048780487805,0.758830694275274,8,14
514,5,0.5739837398373984,0.5566382460414129,8,14
515,6,0.5715447154471545,0.5529841656516443,8,14
516,7,0.540650406504065,0.5493300852618758,8,14
517,8,0.6130081300813008,0.6151035322777101,8,14
518,9,0.7268292682926829,0.7405602923264312,8,14
519,10,0.8357723577235773,0.8465286236297198,8,14
520,11,0.8276422764227642,0.853836784409257,8,14
521,12,0.7520325203252033,0.7539585870889159,8,14
522,13,0.5715447154471545,0.5529841656516443,8,14
523,14,0.9512195121951219,0.9585870889159561,8,14
524,15,0.7878048780487805,0.758830694275274,8,14
525,16,0.6796747967479675,0.6857490864799025,8,14
526,17,0.9227642276422764,0.904993909866017,8,14
527,18,0.5739837398373984,0.5566382460414129,8,14
528,19,0.5235772357723577,0.5274056029232643,8,14
529,20,0.5756097560975609,0.5834348355663824,8,14
530,21,0.6658536585365854,0.6467722289890377,8,14
531,22,0.7658536585365854,0.7637028014616322,8,14
532,23,0.5764227642276423,0.582216808769793,8,14
533,24,0.5764227642276423,0.582216808769793,8,14
534,25,0.5764227642276423,0.582216808769793,8,14
535,26,0.5764227642276423,0.582216808769793,8,14
536,27,0.5682926829268292,0.5761266747868453,8,14
537,28,0.5682926829268292,0.5761266747868453,8,14
538,29,0.5682926829268292,0.5761266747868453,8,14
